Customer,Var6,Var7,Var13,Var21,Var22,Var25,Var28,Var35,Var38,Var44,Var57,Var65,Var73,Var74,Var76,Var78,Var81,Var83,Var85,Var109,Var112,Var113,Var119,Var123,Var125,Var132,Var133,Var134,Var140,Var143,Var144,Var149,Var153,Var160,Var163,Var173,Var181,Var192,Var193,Var195,Var196,Var197,Var198,Var199,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var210,Var211,Var212,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var226,Var227,Var228
1,0,0,0,8,10,0,24.08,0,0,0,1.930143,9,12,0,0,0,28087.5,0,0,0,0,-1100808,10,0,0,8,93625,0,0,0,0,0,74900,4,0,0,7,etYt0GVuu1,RO12,taul,1K8T,2Ix5,60sCyD5,d6zx_0v,6kEs,9_Y1,k13i,VpdQ,IYzP,me75fM6ugJ,kIsH,g5HH,L84s,NhsEn4L,TDcwKda,yDoW,cJvF,FzaX,Gpv8hdx,oslk,HcpEsaq,LM8l689qOp,fKCe,RAYp,F2FyR07IdsN7I
1,0,0,0,8,10,0,334.4,0,0,0,5.252083,9,14,0,0,3,60402,0,0,0,0,-1286760,10,0,0,8,201340,0,0,0,0,0,161072,4,0,0,0,1qmr4RQxul,RO12,taul,1K8T,TyGl,jJ_lbGp,DkRLCok,RTc9,9_Y1,z5Ry,VpdQ,IYzP,me75fM6ugJ,kIsH,uKAI,Mtgm,NhsEn4L,mAj3FSW,BXUS,UYBR,FzaX,PqGY_02,oslk,FnxQQMs,LM8l689qOp,FSa2,RAYp,F2FyR07IdsN7I
1,0,0,0,8,10,8,297.52,0,0,0,6.210852,9,14,0,0,12,55203,0,0,0,0,-1125672,10,0,0,32,20615,65358,0,0,0,0,147208,2,0,0,0,639r4RK2Mx,RO12,taul,1K8T,NHzE,dBHKZdo,jXIs0KG,gpsI,9_Y1,DtNL,VpdQ,IYzP,me75fM6ugJ,kIsH,uKAI,Mtgm,NhsEn4L,kq0dQfu,O5Ed,UYBR,FzaX,f560FxM,oslk,lTw2_Lp,LM8l689qOp,FSa2,RAYp,F2FyR07IdsN7I
1,0,0,0,8,10,16,270.88,0,0,0,3.70156,9,12,0,0,0,889.5,0,0,0,0,-1009112,10,0,0,16,0,1186,0,0,0,0,2372,0,0,0,14,8Knvyx875g,RO12,taul,1K8T,kwI9,fIZ2EMp,k10MzgT,mW3T,9_Y1,MBhA,VpdQ,IYzP,7M47J5GA0pTYIFxg5uy,sBgB,uKAI,Mtgm,NhsEn4L,kZJtVhC,BdeV,UYBR,FzaX,YZ2TNgw,oslk,x3aOgRj,LM8l689qOp,WqMG,ZI9m,F2FyR07IdsN7I
1,0,0,0,12,15,0,345.76,0,5210316,0,6.037599,9,12,0,0,0,868770,0,0,0,0,180740.8,15,12,0,8,1915,0,0,0,0,0,3475076,2,0,0,7,_v2rjIKQ76,AERks4l,taul,1K8T,pGTb,XReAfi7,26yE7ccErl,wRb_,9_Y1,7WNq,VpdQ,IYzP,GjJ35utlTa_GNSvxxpb9ju,kIsH,uKAI,L84s,JBfYVit4g8,kq0U_7t,K56n,cJvF,FzaX,nJQaZbr,Al6ZaUT,hqtpN7o,LM8l689qOp,WqMG,02N6s8f,xwM2aC7IdeMC0
1,0,0,0,16,20,0,304.08,0,7257600,0,2.055116,9,14,0,0,0,933441,0,0,0,0,-568452,20,12,0,0,174940,0,0,0,0,0,4978360,4,0,0,0,FoxgUHSK8h,RO12,taul,1K8T,0Xwj,3cunsla,yLQVnNfNa2,sOYL,HLqf,mTeA,sJzTlal,IYzP,me75fM6ugJ,sBgB,uKAI,Mtgm,NhsEn4L,kq0dQfu,upnW,UYBR,qxDb,kH5mFX7,oslk,BNrD3Yd,LM8l689qOp,FSa2,RAYp,F2FyR07IdsN7I
1,0,0,0,20,25,0,243.12,0,219840,0,4.553514,9,12,0,0,0,51699,0,0,0,0,-1275848,25,18,0,8,247625,0,0,0,0,0,344660,4,0,0,7,cFHt0GoOh3,RO12,taul,1K8T,JLbT,dgtng1z,3cOC7qZ,cN77,9_Y1,t_4G,VpdQ,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,mAja5EA,7jNY,cJvF,FzaX,CWefR8o,oslk,_8WEKx8,LM8l689qOp,Qu4f,RAYp,F2FyR07IdsN7I
1,0,0,0,20,25,8,297.52,0,203754,0,4.534928,9,14,0,0,0,44541.6,0,0,0,0,-1007144,25,18,0,0,2705,79472,0,0,0,0,296944,2,0,0,0,1YVgUHXZeb,RO12,taul,1K8T,lK27,Ml6kiFp,ilrY4YM,EOBC,9_Y1,8BBI,09_Q,IYzP,me75fM6ugJ,kIsH,uKAI,Mtgm,NhsEn4L,kq0dQfu,RRN_,UYBR,FzaX,k5O88FJ,oslk,QkgQQMs,LM8l689qOp,453m,RAYp,F2FyR07IdsN7I
1,0,0,0,20,25,24,296.24,0,228048,0,6.022004,9,12,0,0,3,51540,0,0,0,0,-1116056,25,6,0,8,210395,11626,0,0,0,0,343600,2,0,0,0,zcROj17IEC,RO12,taul,1K8T,oXaB,SHmaA9U,GHfL3MpXAX,Kfc7,9_Y1,zfpA,VpdQ,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,mAja5EA,kmyE,UYBR,FzaX,nQmfGrO,oslk,A1pAKIt,LM8l689qOp,7aLG,RAYp,F2FyR07IdsN7I
1,0,0,0,28,35,0,253.12,0,520386,0,6.635548,9,12,0,0,6,41243.7,0,0,0,0,-971064,35,12,0,32,47520,0,0,0,0,0,384940,10,0,0,14,tr0Wq69cTy,e6CkoqApVR,taul,1K8T,ssAy,9GJGgoz,ELRUn57,8gXP,9_Y1,0A_v,VpdQ,IYzP,Kxdu,kIsH,uKAI,L84s,FMSzZ91zL2,mAjj1AH,Mz5b,UYBR,FzaX,Tvpip6Z,zCkv,hHJsvbM,LM8l689qOp,PM2D,6fzt,F2FcTt7IdMT_v
1,0,0,0,28,35,8,335.2,0,320334,0,2.81756,9,12,0,0,0,140457.9,0,0,0,0,-855748,35,12,0,0,1329235,16998,0,0,0,0,1310940,8,0,0,0,oUPBcmzkzH,RO12,taul,1K8T,uErj,nLJsz2a,S85q7hLS8P,ae6C,9_Y1,yrDU,09_Q,IYzP,me75fM6ugJ,kIsH,uKAI,Mtgm,NhsEn4L,7WwOAni,ykzL,UYBR,FzaX,9oU6V3V,oslk,00ARusu,LM8l689qOp,Qcbd,RAYp,F2FyR07IdsN7I
1,0,0,0,36,45,16,260.4,0,147048,0,4.708609,9,12,0,0,0,15874.32,0,0,0,0,-1093724,45,30,0,0,16550,39610,0,0,0,0,190492,4,0,0,0,8Fdr4RXXnK,RO12,taul,1K8T,EzKK,fIZg0iR,glRBFJT8NN,Phiv,9_Y1,TFSW,VpdQ,IYzP,me75fM6ugJ,kIsH,uKAI,Mtgm,NhsEn4L,7WwSAlP,uAgP,UYBR,FzaX,kM3Ojel,oslk,20HE4Qn,LM8l689qOp,Xa3G,RAYp,F2FyR07IdsN7I
1,0,0,0,40,50,64,290.96,0,195894,0,6.096347,9,12,0,0,0,11828.1,0,0,0,0,-640196,50,12,0,8,0,13556,0,0,0,0,157708,0,0,0,7,Ylct0GoOh3,RO12,taul,1K8T,72yt,xUTqnbN,MXlhT5l,c2KK,9_Y1,m_h1,09_Q,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,mAja5EA,BfEk,UYBR,FzaX,LwGVino,oslk,xYH_Q4n,LM8l689qOp,WqMG,RAYp,F2FyR07IdsN7I
1,0,0,0,88,110,0,299.2,0,3173172,0,5.334757,9,16,0,0,0,83605.8,0,0,0,0,-610220,110,78,0,0,421240,0,0,0,0,0,2452440,18,0,0,0,8Fdr4RXXnK,RO12,taul,1K8T,uErj,lUp7x5J,9UgkRNhwCh,ligO,9_Y1,Albh,09_Q,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,NGZXJ7z,bOo5,UYBR,FzaX,qxvYjZW,oslk,ddLRDbC,LM8l689qOp,Xa3G,RAYp,F2FyR07IdsN7I
1,7,0,0,16,20,8,290.96,0,0,0,0.3546251,9,12,0,0,0,130841.4,0,2,8,0,-552052,20,0,0,0,43040,244732,0,0,0,0,697820,4,260886,0,0,EsYrjIX0Db,RO12,taul,1K8T,0Xwj,pKHsKl9,Hz6CKEGgV0Vbb,Y7X1,F3hy,xQ2A,09_Q,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,mAja5EA,gvA6,UYBR,FzaX,8Qv6hzI,oslk,2O2Rt2K,LM8l689qOp,5Acm,RAYp,F2FyR07IdsN7I
1,7,0,0,24,30,16,267.68,0,7257600,0,5.245674,9,16,0,4838400,0,1132053,0,0,0,8,181926,30,12,0,0,1399740,339514,0,0,0,0,9056440,2,0,0,0,yaKt0Go8Lb,RO12,taul,1K8T,0Xwj,veKqY96,mdH71YpUgWapX,KMoO,HLqf,Z5OU,VpdQ,IYzP,DHn_WUyBhW_whjA88g9bvA64_,sBgB,uKAI,L84s,CrNX,NGZ_12K,VbHw,cJvF,FzaX,8GKOuBt,d0EEeJi,ta34Ekb,LM8l689qOp,Qu4f,02N6s8f,F2FyR07IdsN7I
1,7,0,0,36,45,32,198.88,0,4768152,0,1.611194,9,18,0,0,0,345327,0,0,0,0,276711.6,180,24,0,0,1611810,1062054,0,0,0,0,6592320,2,0,0,0,kMJt0GoOh3,RO12,taul,1K8T,wGW5,er5y2S2,k4ZC83qN4P,qPq_,9_Y1,rGJy,VpdQ,IYzP,me75fM6ugJ,kIsH,uKAI,L84s,NhsEn4L,mAjH1vL,CHvz,UYBR,FzaX,NHkRPlm,oslk,xEiHAKr,LM8l689qOp,Qu4f,RAYp,F2FyR07IdsN7I
